log regularization parameter,Population risk,Empirical risk,Risk bound,Bayes risk,Distribution
-15.0,2.1138926328582506,0.0,38.56507814743907,0.26717136965212185,Gaussian
-15.0,2.168134621113672,3.39130123042345e-14,29.909265753167695,0.26717136965212185,Gaussian
-15.0,2.268736554049641,0.0,33.80743877441801,0.26717136965212185,Gaussian
-15.0,2.1688713896410126,5.46427682970529e-14,32.417558656626184,0.26717136965212185,Gaussian
-15.0,2.219944814094826,0.0,35.13905970757993,0.26717136965212185,Gaussian
-15.0,2.2114076914966243,4.0560666722899726e-14,32.058800048996154,0.26717136965212185,Gaussian
-15.0,2.2878371246212788,0.0,40.86399787256461,0.26717136965212185,Gaussian
-15.0,2.2669019692058114,1.4941149811370438e-14,33.2763374271172,0.26717136965212185,Gaussian
-15.0,2.160898817086994,1.4999701734783366e-14,35.487311994574696,0.26717136965212185,Gaussian
-15.0,2.2310053484977277,0.0,33.21357131505514,0.26717136965212185,Gaussian
-15.0,2.272551243852832,2.5236184935395864e-14,34.71764668637558,0.26717136965212185,Gaussian
-15.0,2.1175143410166215,0.0,31.702747591879586,0.26717136965212185,Gaussian
-15.0,2.2007271084694016,2.330015386331137e-15,36.939285487745536,0.26717136965212185,Gaussian
-15.0,2.2498643737550705,1.066837255106604e-14,32.02870765075037,0.26717136965212185,Gaussian
-15.0,2.1552872928693563,0.0,33.55319621879746,0.26717136965212185,Gaussian
-15.0,2.219782408192736,0.0,35.317005060076795,0.26717136965212185,Gaussian
-15.0,2.2427880547882864,1.908303466044217e-14,35.12884793991417,0.26717136965212185,Gaussian
-15.0,2.207918836267962,3.937381765148165e-14,31.447310522032552,0.26717136965212185,Gaussian
-15.0,2.2749767431344385,1.5350119479733143e-13,35.112787806205326,0.26717136965212185,Gaussian
-15.0,2.1886405657520185,2.007561464081642e-14,27.259029358981916,0.26717136965212185,Gaussian
-15.0,2.2887418511403146,0.0,40.051820400407564,0.26717136965212185,Gaussian
-15.0,2.2235395949770953,1.8192902910090737e-14,30.5283832302953,0.26717136965212185,Gaussian
-15.0,2.2591132712412674,0.0,29.477894105798185,0.26717136965212185,Gaussian
-15.0,2.3152318664765112,0.0,34.923568101941896,0.26717136965212185,Gaussian
-15.0,2.327551755016525,0.0,35.45826565035409,0.26717136965212185,Gaussian
-15.0,2.2809434467986733,3.429423747814142e-14,39.20550465608272,0.26717136965212185,Gaussian
