log regularization parameter,Population risk,Empirical risk,Risk bound,Bayes risk,Distribution
-14.423076923076923,1.79672368101065,2.2146147690580984e-10,223763.69308469133,0.26717136965212185,Gaussian
-14.423076923076923,1.8005139433226642,3.968156867816657e-10,262144.86136503855,0.26717136965212185,Gaussian
-14.423076923076923,1.8459552498790595,1.9039336121455366e-10,157016.89453798448,0.26717136965212185,Gaussian
-14.423076923076923,1.865387833588113,1.518351530838478e-10,208174.64087742558,0.26717136965212185,Gaussian
-14.423076923076923,1.7425288332237505,9.7270059572592e-11,183331.889675837,0.26717136965212185,Gaussian
-14.423076923076923,1.7969572236024,2.5549762786134597e-10,207151.01212714348,0.26717136965212185,Gaussian
-14.423076923076923,1.7905502573362504,2.47714124146814e-10,196590.78962917798,0.26717136965212185,Gaussian
-14.423076923076923,1.7854836711939122,2.599022681501599e-10,283947.69618167897,0.26717136965212185,Gaussian
-14.423076923076923,1.8469003314427002,2.5302683527696795e-10,240512.06907603733,0.26717136965212185,Gaussian
-14.423076923076923,1.8736081055515712,2.7825892261356005e-10,199453.61233997473,0.26717136965212185,Gaussian
-14.423076923076923,1.795058584620118,2.3201151763157564e-10,217306.29611774875,0.26717136965212185,Gaussian
-14.423076923076923,1.7771674809992393,1.6525017395708474e-10,283257.56136055285,0.26717136965212185,Gaussian
-14.423076923076923,1.7915548754489363,1.538105462894778e-10,224995.68931320452,0.26717136965212185,Gaussian
-14.423076923076923,1.8593087553309147,4.540765199391379e-10,361895.1640964174,0.26717136965212185,Gaussian
-14.423076923076923,1.8360886301038666,2.798120207214852e-10,210472.98083140785,0.26717136965212185,Gaussian
-14.423076923076923,1.8288016116999894,1.7790712536994272e-10,240936.91898466556,0.26717136965212185,Gaussian
-14.423076923076923,1.7603353222008746,2.5550335987103243e-10,252285.94910688305,0.26717136965212185,Gaussian
-14.423076923076923,1.7679905961896696,1.817973991375167e-10,212827.712781063,0.26717136965212185,Gaussian
-13.846153846153847,1.6256916980807754,6.337083055078893e-10,157334.68410238513,0.26717136965212185,Gaussian
-13.846153846153847,1.7407532042314438,4.689485891484653e-10,109877.50909860941,0.26717136965212185,Gaussian
-13.846153846153847,1.7491164543575326,3.8583737393768066e-10,114298.99928571725,0.26717136965212185,Gaussian
-13.846153846153847,1.5991699278875402,5.928210972231271e-10,130362.82383142137,0.26717136965212185,Gaussian
-13.846153846153847,1.6682835253516728,4.1379070910291697e-10,159893.0174986798,0.26717136965212185,Gaussian
-13.846153846153847,1.6932889327148557,5.543731519084296e-10,167835.63299730895,0.26717136965212185,Gaussian
-13.846153846153847,1.6452531899755534,4.620709298589944e-10,157532.41948545867,0.26717136965212185,Gaussian
-13.846153846153847,1.693699689662486,4.985146553874081e-10,141880.39080684722,0.26717136965212185,Gaussian
