log regularization parameter,Population risk,Empirical risk,Risk bound,Bayes risk,Distribution
-10.0,0.6526516287854691,0.003991662486961275,5.618475102638055,0.26717136965212185,Gaussian
-10.0,0.6552075466143374,6.531550143313695e-09,0.7321546233601818,0.26717136965212185,Gaussian
-10.0,0.5792002755287804,3.605805041398656e-08,2.2792814185499166,0.26717136965212185,Gaussian
-10.0,0.6223361317148896,3.5029493577685767e-06,3.951822653104838,0.26717136965212185,Gaussian
-10.0,0.4768409968443334,1.4400629952811588e-09,0.28317832661774106,0.26717136965212185,Gaussian
-10.0,0.7419352587326767,3.306356060840607e-07,4.091137962963204,0.26717136965212185,Gaussian
-10.0,0.49101755498856253,3.294964199897892e-08,2.245693914510774,0.26717136965212185,Gaussian
-10.0,0.6124925863852141,2.0183621830456515e-08,1.5926176392178724,0.26717136965212185,Gaussian
-10.0,0.5999424689365641,8.388780135121214e-08,3.4985997299861107,0.26717136965212185,Gaussian
-10.0,0.7062441080993169,1.8034630748170905e-08,1.4278302447065936,0.26717136965212185,Gaussian
-10.0,0.6808636673509282,2.0582203607253405e-07,6.787186333986223,0.26717136965212185,Gaussian
-10.0,0.5092791854772346,1.0928940593351118e-09,0.2616417985988619,0.26717136965212185,Gaussian
-10.0,0.7253369859352179,1.945517947034313e-06,3.4001941794396617,0.26717136965212185,Gaussian
-10.0,0.5908112815810685,3.1839293165897996e-08,1.7913791367213763,0.26717136965212185,Gaussian
-10.0,0.7480829269237916,2.390922566332987e-08,1.5186290684946768,0.26717136965212185,Gaussian
-10.0,0.5791170915036316,1.4675496389109768e-07,3.9299774815114437,0.26717136965212185,Gaussian
-10.0,0.675480169577864,7.79967460650931e-08,3.597032541506604,0.26717136965212185,Gaussian
-10.0,0.7917087638275633,1.724370191386009e-08,1.4021788680791112,0.26717136965212185,Gaussian
-10.0,0.6303442175486156,6.803788486646724e-08,3.0830607878776526,0.26717136965212185,Gaussian
-10.0,0.5389588875765045,1.3144228642108443e-07,4.316171004752249,0.26717136965212185,Gaussian
-10.0,0.6212297649656005,1.3411933839981431e-07,3.538668413395838,0.26717136965212185,Gaussian
-10.0,0.455714639241186,3.9829562044624296e-08,2.0386704903482276,0.26717136965212185,Gaussian
-10.0,0.6217307788746068,5.974906967634402e-08,2.8026162897954654,0.26717136965212185,Gaussian
-10.0,0.5904090086310656,9.818164515266081e-08,3.5445114989467212,0.26717136965212185,Gaussian
-10.0,0.471128774983756,8.420272425145852e-09,0.9565167050128197,0.26717136965212185,Gaussian
-10.0,0.6874993869443123,2.465369512647225e-08,1.7301226847005422,0.26717136965212185,Gaussian
-10.0,0.5934713179249473,9.065004964700667e-08,3.5774446172441348,0.26717136965212185,Gaussian
-10.0,0.5782137824522066,4.882459473844744e-09,0.6107800680420937,0.26717136965212185,Gaussian
-10.0,0.5249796814898631,2.04257797054542e-08,1.3882261146130077,0.26717136965212185,Gaussian
-10.0,0.642808462248748,5.839419487827718e-08,2.8943887331460485,0.26717136965212185,Gaussian
-10.0,0.5922438168887152,4.940523171775899e-08,2.5308510957164336,0.26717136965212185,Gaussian
-10.0,0.5274850778222966,5.470986487154667e-08,2.462444032854143,0.26717136965212185,Gaussian
-10.0,0.49503017570400615,2.2334248292552464e-08,1.7758189623850498,0.26717136965212185,Gaussian
-10.0,0.7662640184277674,2.025904399219755e-07,5.911076559598502,0.26717136965212185,Gaussian
-10.0,0.6008454206715482,1.3265283936127373e-07,4.958060896077489,0.26717136965212185,Gaussian
-10.0,0.5738967024888236,1.0405668942288272e-07,2.78444541316565,0.26717136965212185,Gaussian
-10.0,0.8010758179957637,2.108458672730256e-08,1.5192253416129629,0.26717136965212185,Gaussian
-10.0,0.6758062111343682,3.658444040683588e-08,2.1362326165958634,0.26717136965212185,Gaussian
-10.0,0.5546563894244829,4.704746909428019e-08,2.526225896295353,0.26717136965212185,Gaussian
-10.0,0.5472343996391227,1.4137503620898456e-08,1.1142471214191128,0.26717136965212185,Gaussian
-10.0,0.677032765576744,4.5578753559613365e-08,2.206548501415491,0.26717136965212185,Gaussian
