log regularization parameter,Population risk,Empirical risk,Risk bound,Bayes risk,Distribution
-4.105263157894737,0.3153279136807553,1.0520500311818702e-06,0.42882521427471243,0.26717136965212185,Gaussian
-4.105263157894737,0.31340176735698827,8.148086689315426e-07,0.32753084054579207,0.26717136965212185,Gaussian
-4.105263157894737,0.31003130570799137,7.226109788252488e-07,0.31503967904067665,0.26717136965212185,Gaussian
-4.105263157894737,0.31623059249466606,7.041368232005155e-07,0.293472573770088,0.26717136965212185,Gaussian
-4.105263157894737,0.31252418949892175,8.152808888418771e-07,0.34816539996616136,0.26717136965212185,Gaussian
-4.105263157894737,0.30283506605563637,5.90425410361974e-07,0.27039325673124015,0.26717136965212185,Gaussian
-4.105263157894737,0.300857655551918,7.092152505769988e-07,0.3104747177757871,0.26717136965212185,Gaussian
-4.105263157894737,0.3148510554693946,8.239044841417612e-07,0.33963297049253793,0.26717136965212185,Gaussian
-4.105263157894737,0.339155098302139,6.564873140436418e-07,0.2884534753671638,0.26717136965212185,Gaussian
-4.105263157894737,0.3305461468706949,7.742809072138491e-07,0.31596671912665664,0.26717136965212185,Gaussian
-4.105263157894737,0.2980054717225085,7.702361009497931e-07,0.31488223771479745,0.26717136965212185,Gaussian
-4.105263157894737,0.3129891310366527,1.1021563520412184e-06,0.4276295048618806,0.26717136965212185,Gaussian
-4.105263157894737,0.29191396691527066,5.158412007753721e-07,0.2438155654785865,0.26717136965212185,Gaussian
-4.105263157894737,0.3189438527917818,1.038633609432293e-06,0.4064945648384191,0.26717136965212185,Gaussian
-4.105263157894737,0.3378986493420672,8.620062309659587e-07,0.343007131004087,0.26717136965212185,Gaussian
-4.105263157894737,0.29562579955881296,7.706553738290432e-07,0.30144934687212127,0.26717136965212185,Gaussian
-3.1578947368421053,0.3342013666097751,7.216437690823004e-06,0.420460592724975,0.26717136965212185,Gaussian
-3.1578947368421053,0.30654201857618296,4.1962016573598e-06,0.28383471969959667,0.26717136965212185,Gaussian
-3.1578947368421053,0.2953779653287607,5.901723942576179e-06,0.35953917995769624,0.26717136965212185,Gaussian
-3.1578947368421053,0.3286003980019988,6.759942207136762e-06,0.39447387893829294,0.26717136965212185,Gaussian
-3.1578947368421053,0.2893941999572056,3.352602255699378e-06,0.24424129608423295,0.26717136965212185,Gaussian
-3.1578947368421053,0.3237688711944479,8.222432514834227e-06,0.4613108023960032,0.26717136965212185,Gaussian
-3.1578947368421053,0.30749089296558696,6.914482041750485e-06,0.4097790863780656,0.26717136965212185,Gaussian
